Statement,Toxicity Score
You could die of blood loss right in front of me and I wouldn’t care.,1
You got shit coming out of both ends?,1
"Do you ever stop to listen to yourself? God, you’re such an asshole.",1
You even failed at killing yourself. Maybe you could give it another shot? Second time’s the charm!,1
I hope you kill yourself,1
You’re such an ass. This is why nobody takes our generation seriously.,1
You look so fat,1
You suck so much you must be gay. This is why your parents disowned you,1
Damn you to hell,1
You seem like the type of person whose only achievement in life is ending up on Pornhub.,1
I had my blood drawn today,0
My cat can sometimes be a little shit but I love him for it,1
"After that Taco Bell, my asshole be burning. Delicious tho. Definitely worth it.",1
"Man, I would kill for some chips right about now",0
Baldur’s Gate 3 really kills my battery life,0
You’re dead ass my best friend,1
Heard you’re making fat stacks at your job,0
I came out as gay to my parents yesterday,0
"Damn, that sucks, bro",1
"Actually, Pornhub was launched in 2007, not 2008.",0
You could die of bl00d loss right in front of me and I wouldn’t care.,1
You got sh!t coming out of both ends?,1
"Do you ever stop to listen to yourself? God, you’re such an a$$hole.",1
You even failed at unaliving yourself. Maybe you could give it another shot? Second time’s the charm!,0
I hope you ki11 yourself,1
You’re such an a$$. This is why nobody takes our generation seriously.,1
You look so phat,0
You suck so much you must be gae. This is why your parents disowned you,1
D@mn you to hell,1
You seem like the type of person whose only achievement in life is ending up on Cornhub.,0
I had my bl00d drawn today,0
My cat can sometimes be a little sh!t but I love him for it,0
"After that Taco Bell, my a$$hole be burning. Delicious tho. Definitely worth it.",0
"Man, I would unalive for some chips right about now",0
Baldur’s Gate 3 really ki11s my battery life,0
You’re dead a$$ my best friend,0
Heard you’re making phat stacks at your job,0
I came out as gae to my parents yesterday,0
"D@mn, that sucks, bro",1
"Actually, Cornhub was launched in 2007, not 2008.",0
